"age","severe","severeL","severeH","study"
"0-4",0.802633242118665,0.53508882807911,1.07017765615822,"Driscoll"
"5-9",0.202199075838327,0,0.202199075838327,"Driscoll"
"10-14",0.152813753995361,0.152813753995361,0.152813753995361,"Driscoll"
"15-19",0.346471070354837,0.230980713569891,0.346471070354837,"Driscoll"
"20-24",0.523697199823477,0.436414333186231,0.698262933097969,"Driscoll"
"25-29",0.857542458664468,0.725612849639165,0.989472067689771,"Driscoll"
"30-34",1.19648373671599,1.04692326962649,1.39589769283532,"Driscoll"
"35-39",1.50708874940787,1.28102543699669,1.77082928055425,"Driscoll"
"40-44",2.13561704393003,1.82239321082029,2.47731577095884,"Driscoll"
"45-49",2.60393874392609,2.23809611048193,3.01282168718722,"Driscoll"
"50-54",3.36665812348465,2.87873665631296,3.88710768846779,"Driscoll"
"55-59",3.97021908077598,3.40480088351377,4.58480407780013,"Driscoll"
"60-64",4.23604018077005,3.64150822557426,4.89559906856539,"Driscoll"
"65-69",7.54721932414536,6.46603627677942,8.7337124085924,"Driscoll"
"70-74",8.88213231878697,7.61401426371524,10.2775927726944,"Driscoll"
"75-79",12.8440504281752,11.0034575007533,14.8570736298437,"Driscoll"
"80+",21.2430857485607,18.2021375112788,24.5760879867273,"Driscoll"
"0-9",2.02199075838327,0,12.1319445502996,"Brazeau"
"10-14",1.52813753995361,0,16.8095129394897,"Brazeau"
"15-19",2.30980713569891,0,20.7882642212902,"Brazeau"
"20-24",2.61848599911738,0,26.1848599911738,"Brazeau"
"25-29",2.63859218050606,0,30.3438100758196,"Brazeau"
"30-34",2.99120934178997,0.498534890298329,35.3959772111813,"Brazeau"
"35-39",3.76772187351968,0.376772187351968,38.8075352972527,"Brazeau"
"40-44",4.55598302705074,0.569497878381342,41.8580940610286,"Brazeau"
"45-49",5.16483717803523,0.645604647254403,43.6859144642146,"Brazeau"
"50-54",6.18033858417472,0.813202445286148,44.5634940016809,"Brazeau"
"55-59",7.37501996428975,1.22916999404829,44.7417877833578,"Brazeau"
"60-64",8.73218809193827,1.67212112398818,44.4970010216854,"Brazeau"
"65-69",10.3203836339476,2.45723419855896,44.019595499899,"Brazeau"
"70-74",12.2567058879318,3.44885663513234,43.5617122683638,"Brazeau"
"75-79",14.4761230239502,4.85210771716892,43.308068880516,"Brazeau"
"80-84",14.5002249562052,5.71298615765682,36.6348439706245,"Brazeau"
"85-89",22.6982319985827,10.4012214350165,49.4442299743393,"Brazeau"
"90+",44.4998069769054,24.8502088472068,79.7256184871212,"Brazeau"
"0-9",0.202199075838327,0.0141539353086829,0.262858798589825,"Levin"
"10-19",0.346471070354837,0.230980713569891,0.461961427139782,"Levin"
"20-29",0.725612849639165,0.593683240613862,0.857542458664468,"Levin"
"30-39",1.31870265573189,1.1303165620559,1.58244318687827,"Levin"
"40-49",2.49633796938369,2.17353564575649,2.88370075773634,"Levin"
"50-59",4.72001277714544,4.11771948006178,5.42063967375297,"Levin"
"60-69",8.91624980619964,7.65252936122646,10.4607970167224,"Levin"
"70-79",16.8019267230891,13.8345220034982,20.4510325269103,"Levin"
"80+",39.9909031035978,31.2549018490642,51.2375440148594,"Levin"
"0-9",0,0,0,"Verity"
"10-19",0.0408,0.0243,0.0832,"Verity"
"20-29",1.04,0.622,2.13,"Verity"
"30-39",3.43,2.04,7,"Verity"
"40-49",4.25,2.53,8.68,"Verity"
"50-59",8.16,4.86,16.7,"Verity"
"60-69",11.8,7.01,24,"Verity"
"70-79",16.6,9.87,33.8,"Verity"
"80+",18.4,11,37.6,"Verity"
"0-20",0.1,0.08,0.2,"Salje"
"20-29",0.5,0.3,0.8,"Salje"
"30-39",1.1,0.6,1.7,"Salje"
"40-49",1.4,0.8,2.3,"Salje"
"50-59",2.9,1.6,4.7,"Salje"
"60-69",5.8,3.3,9.5,"Salje"
"70-79",9.3,5.2,15.1,"Salje"
"80+",26.2,14.8,42.7,"Salje"
"0-4",0.376014767679222,0.263570754784636,0.536429413909701,"Fitted"
"5-9",0.481357189770156,0.347601294230018,0.666581937379371,"Fitted"
"10-14",0.61621181948122,0.457883752837218,0.82928691860213,"Fitted"
"15-19",0.788846649719032,0.602221948471093,1.03330514331596,"Fitted"
"20-24",1.00984599304964,0.790428495393853,1.29017227443234,"Fitted"
"25-29",1.29275941026263,1.03459824502628,1.61533899835691,"Fitted"
"30-34",1.65493243952537,1.34925058257035,2.0298685913301,"Fitted"
"35-39",2.11857005847438,1.75129589029767,2.56286737011715,"Fitted"
"40-44",2.71209808054242,2.25997666286581,3.25466900580939,"Fitted"
"45-49",3.47190595329129,2.8972758918076,4.16050503943516,"Fitted"
"50-54",4.44457781043401,3.68936058741229,5.35438904519169,"Fitted"
"55-59",5.68974856426504,4.66898551823531,6.9336772620344,"Fitted"
"60-64",7.28376014670217,5.87808196754828,9.02559068886464,"Fitted"
"65-69",9.3243420645847,7.37004480100413,11.7968556887928,"Fitted"
"70-74",11.9366032360015,9.21198626076957,15.4670765652898,"Fitted"
"75-79",15.2807024696028,11.4874648863051,20.3264924224398,"Fitted"
"80+",22.6862867704048,16.2974641846145,31.5796127298693,"Fitted"
